Year,Return
1979,6.908980833589644
1980,38.92918575149808
1981,13.624800989464056
1982,24.57454243718439
1983,41.45140680114741
1984,19.742431857683872
1985,15.803692420531426
1986,18.62865310811976
1987,-4.133160220808307
1988,31.71839306890252
1989,18.347075144314278
1990,-29.293024853587458
1991,24.559545672010483
1992,-0.36961383231766554
1993,34.27841465059389
1994,-2.1942071138661903
1995,14.767124934264613
1996,16.492766455253214
1997,29.360554551930118
1998,17.60075985317194
1999,46.20091722938297
2000,-6.26434398536187
2001,-12.18047971562547
2002,-32.67437382554782
2003,10.521691593588182
2004,6.374332418725557
2005,26.413772128195333
2006,7.548898600013495
2007,-2.4525157717235317
2008,-37.287507810164115
2009,25.575937449016973
2010,20.495592534694175
2011,-2.452266077128064
2012,13.587391807936502
2013,21.192840417371574
2014,19.198069429703562
2015,10.546743100412897
2016,11.039444380970483
2017,7.5812464768771335
2018,-4.382268824231092
2019,30.124827572422962
2020,6.107780474209095
2021,31.981215544038832
2022,-13.076273337277028
