Year,Return
1993,20.660370292792408
1994,-5.689900203172931
1995,30.793243963273053
1996,26.226017971721394
1997,49.02768015658609
1998,21.611566408810827
1999,41.64486939800583
2000,-1.8659416855132511
2001,-6.966709116449332
2002,-34.535329815506714
2003,6.849972946362581
2004,2.81479079869347
2005,21.132978567911394
2006,3.7224518904028967
2007,-5.620848612087319
2008,-33.358136554859186
2009,22.1718425507653
2010,24.0535368956743
2011,5.4500455539601615
2012,13.761233348757433
2013,26.657499787013013
2014,29.138968478655936
2015,13.061470488818411
2016,15.634907769748697
2017,7.0813734035868245
2018,0.15019989075513643
2019,34.01450487798241
2020,8.393156334654396
2021,39.44407338606754
2022,-13.043681942849359
